epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,427.854,0.4778,0.36951,1.03846,0.76608,0.9836,0.90385,0.66981,0.67706,0.89647,1.37628,0.001052,0.001052,0.001052
160,430.553,0.41097,0.32414,0.99487,0.82372,0.93654,0.95833,0.67689,0.73064,0.93815,1.44718,0.001046,0.001046,0.001046
161,432.88,0.41914,0.34333,1.00294,0.89489,1,0.98591,0.74351,0.79602,0.88733,1.51224,0.00104,0.00104,0.00104
162,435.242,0.44756,0.3613,1.0228,0.90603,1,0.98591,0.74386,0.75162,0.8207,1.44678,0.001034,0.001034,0.001034
163,437.617,0.44648,0.3681,1.03142,0.99033,1,0.995,0.76301,0.79744,0.83738,1.5037,0.001028,0.001028,0.001028
164,440.774,0.47626,0.38278,1.01708,0.98457,1,0.995,0.7641,0.85568,0.58848,1.62865,0.001022,0.001022,0.001022
165,443.584,0.45073,0.34508,0.99811,0.98793,1,0.995,0.78343,0.86936,0.5908,1.75702,0.001016,0.001016,0.001016
166,445.926,0.43372,0.34124,1.01929,0.99489,1,0.995,0.72941,0.81312,0.54735,1.82003,0.00101,0.00101,0.00101
167,448.193,0.43901,0.36596,1.02282,0.99447,1,0.995,0.83153,0.79951,0.53013,1.72469,0.001004,0.001004,0.001004
168,450.733,0.41017,0.32712,0.99519,0.99443,1,0.995,0.78382,0.75626,0.51822,1.55057,0.000998,0.000998,0.000998
169,453.631,0.40235,0.32478,1.00588,0.99435,1,0.995,0.77692,0.72728,0.45412,1.4597,0.000992,0.000992,0.000992
170,456.449,0.37178,0.3059,0.9722,0.99225,1,0.995,0.8472,0.71198,0.48508,1.45038,0.000986,0.000986,0.000986
171,458.891,0.40835,0.3511,1.02931,0.99131,1,0.995,0.80922,0.71672,0.45538,1.47755,0.00098,0.00098,0.00098
172,461.105,0.42865,0.33834,0.97758,0.98657,1,0.995,0.8221,0.76383,0.51584,1.54506,0.000974,0.000974,0.000974
173,463.586,0.43559,0.35351,1.00469,1,0.98454,0.995,0.84054,0.71931,0.58061,1.50812,0.000968,0.000968,0.000968
174,466.414,0.42957,0.3434,1.0136,0.97226,0.9,0.97833,0.84046,0.64701,0.56234,1.42445,0.000962,0.000962,0.000962
175,469.482,0.40934,0.33623,0.99507,0.90893,0.99819,0.98591,0.85141,0.67944,0.51599,1.52958,0.000956,0.000956,0.000956
176,471.925,0.42884,0.34689,1.00454,0.97649,1,0.995,0.81832,0.71895,0.52994,1.51344,0.00095,0.00095,0.00095
177,474.255,0.42146,0.34419,1.00725,0.98347,1,0.995,0.80238,0.7755,0.5806,1.6366,0.000944,0.000944,0.000944
178,476.596,0.44262,0.34636,1.02578,0.83008,1,0.96833,0.76259,0.66051,0.60609,1.45043,0.000938,0.000938,0.000938
179,479.267,0.42792,0.32827,0.9959,0.87814,0.9,0.97192,0.73349,0.69034,0.75552,1.50417,0.000932,0.000932,0.000932
180,482.915,0.44031,0.36109,1.01399,0.93602,0.9,0.97833,0.73442,0.69833,0.81149,1.46876,0.000926,0.000926,0.000926
181,485.282,0.41692,0.32063,1.00235,0.99116,1,0.995,0.78939,0.72368,0.73314,1.52336,0.00092,0.00092,0.00092
182,487.613,0.47446,0.36549,1.05281,0.94526,1,0.995,0.79298,0.70239,0.60285,1.44553,0.000914,0.000914,0.000914
183,490.16,0.39722,0.32164,0.97733,0.90381,1,0.96773,0.81977,0.65987,0.47314,1.35107,0.000908,0.000908,0.000908
184,492.751,0.41599,0.34647,1.00822,0.90279,1,0.96773,0.81789,0.60996,0.45389,1.28058,0.000902,0.000902,0.000902
185,496.192,0.45332,0.36465,1.02398,0.90872,0.99588,0.97682,0.85749,0.6022,0.55218,1.23115,0.000896,0.000896,0.000896
186,498.726,0.4417,0.35675,1.03021,1,0.88241,0.97833,0.78329,0.64069,0.73958,1.21734,0.00089,0.00089,0.00089
187,501.209,0.4196,0.3264,0.99422,0.98239,0.9,0.97833,0.73501,0.88747,0.72499,1.52248,0.000884,0.000884,0.000884
188,503.611,0.37311,0.3055,0.97705,0.9406,0.9,0.98591,0.6858,0.84929,0.78946,1.50709,0.000878,0.000878,0.000878
189,506.319,0.37837,0.30544,0.9583,0.90091,1,0.995,0.71771,0.81148,0.79842,1.48751,0.000872,0.000872,0.000872
190,509.419,0.36926,0.29031,0.98085,0.8532,1,0.96773,0.67919,0.80202,0.9027,1.50553,0.000866,0.000866,0.000866
